Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Complain,Age
Master,Together,62847.0,0,0,45,521,168,706,80,76,61,1,3,6,4,0,79
Graduation,Married,73691.0,0,1,58,707,21,250,85,43,73,2,6,2,8,0,53
Master,Divorced,60161.0,0,1,17,584,44,212,46,8,177,3,11,4,8,0,59
Master,Together,36301.0,1,0,53,11,12,35,3,5,12,1,3,0,3,0,48
PhD,Married,62670.0,0,1,57,539,30,92,80,46,38,1,5,3,13,0,70
Graduation,Married,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,0,51
PhD,Single,82716.0,0,0,8,606,148,228,15,148,22,1,6,8,13,0,80
PhD,Married,69063.0,0,1,16,666,35,124,69,8,26,1,5,3,5,0,58
Master,Single,31859.0,1,0,3,3,4,7,15,8,11,1,1,0,3,0,44
Master,Single,31788.0,1,0,15,16,7,23,0,8,6,3,3,0,4,1,41
Graduation,Married,27244.0,1,0,84,6,5,17,3,24,46,2,2,2,2,0,45
Graduation,Together,38946.0,0,1,84,116,6,82,6,6,41,2,3,1,6,0,69
Graduation,Single,9255.0,1,0,91,9,0,7,2,0,4,1,1,1,2,0,35
Graduation,Married,42243.0,1,1,34,48,0,2,0,0,5,2,2,0,3,0,65
Graduation,Married,50725.0,0,1,45,443,10,75,0,10,48,4,8,1,8,0,71
Master,Married,57136.0,1,1,48,306,5,109,21,109,92,9,5,2,10,0,52
PhD,Divorced,42873.0,1,1,11,209,0,40,3,2,15,4,6,1,4,0,74
Graduation,Widow,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,0,51
Master,Married,48150.0,0,1,24,173,2,39,3,2,47,3,5,1,4,0,75
Graduation,Single,45938.0,0,0,46,273,11,178,62,83,29,2,8,4,6,0,63
PhD,Divorced,41003.0,0,0,11,123,133,142,71,44,88,1,6,2,8,0,61
PhD,Together,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,0,68
Graduation,Single,74293.0,0,0,66,375,152,335,93,91,81,1,5,4,6,0,31
PhD,Together,37334.0,1,1,44,26,1,16,2,2,15,4,3,0,4,0,66
Graduation,Married,5305.0,0,1,12,12,4,7,1,3,5,0,1,0,0,0,48
PhD,Divorced,57333.0,0,1,55,941,14,397,76,58,176,11,8,5,9,0,70
Graduation,Married,47703.0,0,1,95,359,0,134,13,26,123,4,6,3,8,0,71
Graduation,Single,44503.0,1,1,83,31,1,8,0,0,8,2,2,0,3,0,52
Graduation,Single,90842.0,0,0,57,774,70,118,182,187,93,1,4,9,13,0,76
Graduation,Single,47025.0,0,1,52,254,7,108,20,0,26,3,6,3,5,0,48
PhD,Together,71604.0,0,0,3,345,53,528,98,75,97,1,8,3,5,0,79
Master,Together,66664.0,0,0,78,398,96,447,220,96,32,1,5,7,6,0,42
Graduation,Together,58398.0,0,0,44,299,5,201,21,21,49,3,5,4,8,0,71
Graduation,Together,46610.0,0,0,4,288,10,30,4,10,125,1,6,1,6,0,66
Graduation,Together,42554.0,1,1,93,29,1,11,0,0,0,2,2,0,3,0,46
Graduation,Married,36715.0,1,0,16,172,10,125,21,13,16,6,7,2,4,0,53
Graduation,Married,13624.0,1,0,93,10,2,15,2,1,6,2,2,0,3,0,48
Graduation,Single,81657.0,0,0,69,364,40,425,158,60,50,1,3,4,8,0,55
PhD,Together,45068.0,0,1,25,14,0,3,0,0,3,1,1,0,2,0,50
Master,Married,60432.0,0,1,61,365,3,15,4,3,11,5,7,2,5,0,51
Master,Together,74805.0,0,1,14,209,162,209,41,162,37,5,4,7,10,0,69
Graduation,Together,83844.0,0,0,57,901,31,345,75,31,191,1,4,4,11,0,72
PhD,Single,27238.0,1,1,39,37,0,17,0,0,3,3,3,0,3,0,62
Graduation,Single,45989.0,0,1,97,138,33,87,28,24,12,4,3,2,7,0,60
Master,Married,38576.0,0,1,2,34,0,7,0,0,0,1,1,0,3,0,51
Graduation,Divorced,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,0,53
Graduation,Single,80695.0,0,0,85,557,129,984,193,37,18,1,5,8,5,0,61
PhD,Together,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,0,50
Master,Married,22701.0,1,0,2,2,4,9,0,4,5,1,1,0,3,0,47
Graduation,Married,45688.0,0,1,20,279,0,18,0,0,9,2,3,1,8,0,56
Graduation,Together,62061.0,0,1,12,641,7,84,0,30,38,3,10,4,7,0,48
Graduation,Together,78394.0,0,0,13,298,27,697,216,24,166,1,4,6,5,0,38
PhD,Married,64355.0,1,0,66,1047,0,140,67,38,153,2,4,3,12,0,39
Graduation,Divorced,82460.0,0,0,78,255,47,573,52,32,15,1,5,3,6,0,74
PhD,Divorced,74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,0,49
PhD,Together,59292.0,0,1,71,378,14,68,19,14,14,2,3,5,8,0,74
Master,Together,80573.0,0,0,85,829,138,430,60,92,15,1,4,6,13,0,53
Master,Together,35924.0,1,1,56,8,0,14,2,3,7,1,1,0,3,0,55
Master,Together,26490.0,0,0,92,45,47,52,21,20,25,2,3,1,5,0,66
Master,Single,46423.0,1,1,6,68,0,16,0,0,8,3,2,0,4,0,52
Graduation,Married,51267.0,1,1,37,183,2,64,7,2,12,4,3,3,5,0,46
PhD,Married,38410.0,0,0,65,153,64,123,116,64,14,2,5,2,9,0,50
Graduation,Married,61456.0,0,1,47,563,76,384,84,192,89,4,6,10,13,0,49
PhD,Divorced,54959.0,0,1,55,1148,0,60,0,0,24,3,9,5,4,0,63
Graduation,Divorced,58710.0,0,1,77,440,81,368,0,122,174,6,11,5,9,0,54
Graduation,Together,35196.0,1,0,68,75,12,141,43,39,187,6,6,1,5,0,40
Master,Single,89616.0,0,0,36,671,47,655,145,111,15,1,7,5,12,0,41
Graduation,Together,82427.0,0,0,35,482,147,509,104,107,107,1,3,5,12,0,58
Master,Together,21024.0,0,0,89,36,4,18,6,2,18,1,2,0,4,0,48
PhD,Single,76045.0,0,0,78,760,53,400,17,93,0,1,4,5,11,0,64
PhD,Married,33581.0,2,0,38,11,0,5,0,0,1,1,1,0,2,0,55
